
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 3775
Earthquake Name:, Northridge-06
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 3775, -, 1.0, -, 3.0, 3.2, 0.2, "Northridge-06", 1994, "Canoga Park - Topanga Can", 5.28, Reverse, 8.98, 14.2, 267.49, 1.25, 1.0, RSN3775_NORTH392_CNP106.AT2, RSN3775_NORTH392_CNP196.AT2 , RSN3775_NORTH392_CNP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-3775 SRSS pSa (g)
0.3,0.64472254,0.64472254,0.64472254,0.64472254
0.32,0.44771103,0.44771103,0.44771103,0.44771103
0.34,0.44640193,0.44640193,0.44640193,0.44640193
0.35,0.47922039,0.47922039,0.47922039,0.47922039
0.36,0.50808959,0.50808959,0.50808959,0.50808959
0.38,0.52133115,0.52133115,0.52133115,0.52133115
0.4,0.48626351,0.48626351,0.48626351,0.48626351
0.42,0.42924067,0.42924067,0.42924067,0.42924067
0.44,0.36383333,0.36383333,0.36383333,0.36383333
0.45,0.35674528,0.35674528,0.35674528,0.35674528
0.46,0.35976428,0.35976428,0.35976428,0.35976428
0.48,0.39879913,0.39879913,0.39879913,0.39879913
0.5,0.44942925,0.44942925,0.44942925,0.44942925
0.55,0.49577991,0.49577991,0.49577991,0.49577991
0.6,0.42158657,0.42158657,0.42158657,0.42158657
0.65,0.31476342,0.31476342,0.31476342,0.31476342
0.667,0.28349273,0.28349273,0.28349273,0.28349273
0.7,0.24211081,0.24211081,0.24211081,0.24211081
0.75,0.19108698,0.19108698,0.19108698,0.19108698
0.8,0.15633172,0.15633172,0.15633172,0.15633172
0.85,0.13765096,0.13765096,0.13765096,0.13765096
0.9,0.12102181,0.12102181,0.12102181,0.12102181
0.95,0.10261164,0.10261164,0.10261164,0.10261164
1.0,0.08668681,0.08668681,0.08668681,0.08668681
1.1,0.07092607,0.07092607,0.07092607,0.07092607
1.2,0.05646939,0.05646939,0.05646939,0.05646939
1.3,0.04500556,0.04500556,0.04500556,0.04500556
1.4,0.0362553,0.0362553,0.0362553,0.0362553
1.5,0.02984822,0.02984822,0.02984822,0.02984822
1.6,0.0252227,0.0252227,0.0252227,0.0252227
1.7,0.02175389,0.02175389,0.02175389,0.02175389
1.8,0.01901386,0.01901386,0.01901386,0.01901386
1.9,0.01675301,0.01675301,0.01675301,0.01675301
2.0,0.01483984,0.01483984,0.01483984,0.01483984
2.2,0.01181781,0.01181781,0.01181781,0.01181781
2.4,0.00964435,0.00964435,0.00964435,0.00964435
2.5,0.00880305,0.00880305,0.00880305,0.00880305
2.6,0.00808872,0.00808872,0.00808872,0.00808872
2.8,0.00694814,0.00694814,0.00694814,0.00694814
3.0,0.00607445,0.00607445,0.00607445,0.00607445
3.2,0.00537402,0.00537402,0.00537402,0.00537402
3.4,0.0047921,0.0047921,0.0047921,0.0047921
3.5,0.00453513,0.00453513,0.00453513,0.00453513
3.6,0.0042971,0.0042971,0.0042971,0.0042971
3.8,0.00387009,0.00387009,0.00387009,0.00387009
4.0,0.00349872,0.00349872,0.00349872,0.00349872
4.2,0.00317412,0.00317412,0.00317412,0.00317412
4.4,0.00288942,0.00288942,0.00288942,0.00288942
4.6,0.00263898,0.00263898,0.00263898,0.00263898
4.8,0.00241804,0.00241804,0.00241804,0.00241804
5.0,0.00222258,0.00222258,0.00222258,0.00222258
5.5,0.00182386,0.00182386,0.00182386,0.00182386
6.0,0.0015223,0.0015223,0.0015223,0.0015223
6.5,0.00128967,0.00128967,0.00128967,0.00128967
7.0,0.00110679,0.00110679,0.00110679,0.00110679
7.5,0.00096054,0.00096054,0.00096054,0.00096054
8.0,0.00084175,0.00084175,0.00084175,0.00084175
8.5,0.00074393,0.00074393,0.00074393,0.00074393
9.0,0.00066239,0.00066239,0.00066239,0.00066239
9.5,0.00059369,0.00059369,0.00059369,0.00059369
10.0,0.00053524,0.00053524,0.00053524,0.00053524
11.0,0.00044172,0.00044172,0.00044172,0.00044172
12.0,0.00037086,0.00037086,0.00037086,0.00037086
13.0,0.00031585,0.00031585,0.00031585,0.00031585
14.0,0.00027227,0.00027227,0.00027227,0.00027227
15.0,0.00023715,0.00023715,0.00023715,0.00023715
20.0,0.00013342,0.00013342,0.00013342,0.00013342

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-3775 Horizontal-1 pSa (g),RSN-3775 Horizontal-2 pSa (g),RSN-3775 Vertical pSa (g)
0.01,0.1294314,0.2518998,0.0971
0.02,0.1266879,0.2517474,0.0969
0.022,0.1306649,0.2507306,0.0966
0.025,0.134759,0.2520367,0.101
0.029,0.1302936,0.2549204,0.106
0.03,0.1312138,0.2535726,0.109
0.032,0.1344847,0.249633,0.108
0.035,0.1408287,0.2553488,0.115
0.036,0.1421886,0.2577114,0.119
0.04,0.1488016,0.2634918,0.135
0.042,0.1569355,0.2613693,0.131
0.044,0.1658214,0.262046,0.134
0.045,0.1712642,0.2627477,0.132
0.046,0.1766869,0.2582976,0.132
0.048,0.1856148,0.26238,0.128
0.05,0.1859694,0.2692074,0.132
0.055,0.2054893,0.2554169,0.144
0.06,0.2106614,0.3001424,0.163
0.065,0.2116712,0.3149724,0.164
0.067,0.2088412,0.3216586,0.152
0.07,0.2270178,0.3034116,0.161
0.075,0.2535132,0.2830245,0.182
0.08,0.2699717,0.2849894,0.2
0.085,0.2560753,0.3285759,0.205
0.09,0.2742018,0.4444228,0.208
0.095,0.3257,0.5187755,0.286
0.1,0.3704303,0.5297928,0.355
0.11,0.4015682,0.53848,0.5
0.12,0.3552291,0.5210088,0.473
0.13,0.3715264,0.4647053,0.41
0.133,0.3657911,0.4614609,0.369
0.14,0.3601384,0.4462453,0.315
0.15,0.3853275,0.4073419,0.222
0.16,0.3278644,0.4503793,0.147
0.17,0.3103214,0.4792715,0.153
0.18,0.2970074,0.4672646,0.156
0.19,0.3028582,0.5563549,0.142
0.2,0.3305194,0.6106157,0.138
0.22,0.2656471,0.570222,0.169
0.24,0.3347509,0.6248881,0.133
0.25,0.3959944,0.6531133,0.116
0.26,0.4252246,0.6964334,0.0951
0.28,0.2987095,0.7388641,0.0627
0.29,0.2980033,0.6796584,0.0533
0.3,0.2978658,0.5717894,0.0497
0.32,0.261701,0.3632599,0.0473
0.34,0.2613415,0.3619051,0.0522
0.35,0.2485637,0.4097173,0.0611
0.36,0.2404488,0.4475929,0.0638
0.38,0.2042837,0.4796398,0.0727
0.4,0.1768169,0.4529768,0.0782
0.42,0.1592623,0.3986014,0.0677
0.44,0.1150797,0.3451541,0.0611
0.45,0.117075,0.3369876,0.0632
0.46,0.1139867,0.3412292,0.0646
0.48,0.1065643,0.3842978,0.0746
0.5,0.1125844,0.4350993,0.0945
0.55,0.1145202,0.4823721,0.0853
0.6,0.07638247,0.4146094,0.0541
0.65,0.05706232,0.3095479,0.0317
0.667,0.0570755,0.2776878,0.0271
0.7,0.06277394,0.2338313,0.023
0.75,0.06073342,0.1811786,0.0248
0.8,0.05004394,0.1481054,0.0233
0.85,0.04920588,0.1285557,0.0225
0.9,0.04238639,0.1133564,0.0183
0.95,0.02975767,0.09820198,0.0158
1.0,0.02551112,0.08284797,0.0143
1.1,0.01924587,0.06826495,0.0108
1.2,0.01324023,0.05489525,0.0072
1.3,0.01045401,0.04377458,0.00512
1.4,0.00926931,0.03505035,0.00409
1.5,0.00816177,0.02871066,0.00305
1.6,0.00705459,0.02421606,0.00265
1.7,0.00600405,0.02090892,0.00227
1.8,0.00513353,0.01830775,0.00199
1.9,0.00446371,0.0161474,0.00168
2.0,0.00394417,0.0143061,0.00155
2.2,0.0031607,0.0113873,0.00141
2.4,0.00258368,0.00929183,0.0011
2.5,0.00235665,0.00848174,0.00104
2.6,0.0021643,0.00779379,0.00101
2.8,0.0018608,0.00669434,0.000872
3.0,0.00163068,0.00585148,0.000713
3.2,0.0014444,0.00517628,0.000583
3.4,0.00128606,0.00461631,0.000499
3.5,0.00121487,0.00436938,0.000502
3.6,0.00114828,0.00414084,0.000501
3.8,0.00102762,0.00373117,0.000486
4.0,0.00092212,0.00337501,0.000459
4.2,0.00083016,0.00306364,0.000423
4.4,0.0007502,0.00279033,0.000384
4.6,0.00068072,0.00254967,0.000345
4.8,0.00062029,0.00233713,0.000309
5.0,0.00056759,0.00214888,0.000276
5.5,0.0004625,0.00176424,0.00021
6.0,0.0003851,0.00147279,0.000165
6.5,0.00032636,0.00124769,0.000135
7.0,0.00028057,0.00107064,0.000114
7.5,0.00024405,0.00092902,9.87e-05
8.0,0.00021437,0.00081399,8.7e-05
8.5,0.00018987,0.00071929,7.76e-05
9.0,0.00016938,0.00064037,6.99e-05
9.5,0.00015205,0.00057389,6.34e-05
10.0,0.00013725,0.00051735,5.77e-05
11.0,0.00011347,0.00042689,4.85e-05
12.0,9.537e-05,0.00035838,4.12e-05
13.0,8.127e-05,0.00030521,3.54e-05
14.0,7.007e-05,0.0002631,3.07e-05
15.0,6.103e-05,0.00022916,2.68e-05
20.0,3.429e-05,0.00012894,1.51e-05
