
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 187
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 187, -, 1.0, -, 7.1, 18.6, 0.2, "Imperial Valley-06", 1979, "Parachute Test Site", 6.53, strike slip, 12.69, 12.69, 348.69, 0.0625, 1.0, RSN187_IMPVALL.H_H-PTS225.AT2, RSN187_IMPVALL.H_H-PTS315.AT2 , RSN187_IMPVALL.H_H-PTS-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-187 SRSS pSa (g)
1.7,0.11738858,0.11738858,0.11738858,0.11738858
1.8,0.11558841,0.11558841,0.11558841,0.11558841
1.9,0.11898587,0.11898587,0.11898587,0.11898587
2.0,0.11956257,0.11956257,0.11956257,0.11956257
2.2,0.11564778,0.11564778,0.11564778,0.11564778
2.4,0.12206225,0.12206225,0.12206225,0.12206225
2.5,0.11852937,0.11852937,0.11852937,0.11852937
2.6,0.11093645,0.11093645,0.11093645,0.11093645
2.8,0.09510764,0.09510764,0.09510764,0.09510764
3.0,0.08828467,0.08828467,0.08828467,0.08828467
3.2,0.08388298,0.08388298,0.08388298,0.08388298
3.4,0.08006967,0.08006967,0.08006967,0.08006967
3.5,0.0785138,0.0785138,0.0785138,0.0785138
3.6,0.07641415,0.07641415,0.07641415,0.07641415
3.8,0.07879024,0.07879024,0.07879024,0.07879024
4.0,0.07959925,0.07959925,0.07959925,0.07959925
4.2,0.07725753,0.07725753,0.07725753,0.07725753
4.4,0.07312093,0.07312093,0.07312093,0.07312093
4.6,0.06722058,0.06722058,0.06722058,0.06722058
4.8,0.06087068,0.06087068,0.06087068,0.06087068
5.0,0.05437083,0.05437083,0.05437083,0.05437083
5.5,0.04588661,0.04588661,0.04588661,0.04588661
6.0,0.03703293,0.03703293,0.03703293,0.03703293
6.5,0.03149521,0.03149521,0.03149521,0.03149521
7.0,0.02715234,0.02715234,0.02715234,0.02715234
7.5,0.02367498,0.02367498,0.02367498,0.02367498
8.0,0.02287767,0.02287767,0.02287767,0.02287767
8.5,0.02291986,0.02291986,0.02291986,0.02291986
9.0,0.02323464,0.02323464,0.02323464,0.02323464
9.5,0.02237403,0.02237403,0.02237403,0.02237403
10.0,0.01901082,0.01901082,0.01901082,0.01901082
11.0,0.01380475,0.01380475,0.01380475,0.01380475
12.0,0.01120442,0.01120442,0.01120442,0.01120442
13.0,0.00874637,0.00874637,0.00874637,0.00874637
14.0,0.00670645,0.00670645,0.00670645,0.00670645
15.0,0.00552127,0.00552127,0.00552127,0.00552127
20.0,0.00238579,0.00238579,0.00238579,0.00238579

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-187 Horizontal-1 pSa (g),RSN-187 Horizontal-2 pSa (g),RSN-187 Vertical pSa (g)
0.01,0.1134763,0.2056873,0.162
0.02,0.1209345,0.2122558,0.167
0.022,0.1322882,0.2152307,0.176
0.025,0.1368489,0.2180038,0.173
0.029,0.1388671,0.2146359,0.181
0.03,0.1379023,0.2121258,0.184
0.032,0.1323647,0.2079767,0.185
0.035,0.1233073,0.2057447,0.176
0.036,0.1252558,0.2058144,0.173
0.04,0.1196323,0.2071482,0.193
0.042,0.1300141,0.208976,0.216
0.044,0.1389461,0.2196897,0.245
0.045,0.1400419,0.2223305,0.26
0.046,0.1454977,0.2222159,0.265
0.048,0.1501364,0.2182727,0.248
0.05,0.1482118,0.2181879,0.219
0.055,0.1249319,0.2286036,0.249
0.06,0.1392032,0.2290334,0.252
0.065,0.1755345,0.2167196,0.222
0.067,0.1762024,0.217552,0.224
0.07,0.1979924,0.2100873,0.25
0.075,0.2088641,0.2403126,0.225
0.08,0.1962944,0.234538,0.282
0.085,0.1789795,0.2215786,0.323
0.09,0.1922688,0.2749,0.293
0.095,0.2027666,0.2969797,0.288
0.1,0.1890939,0.3023317,0.303
0.11,0.2583837,0.24869,0.317
0.12,0.302903,0.3244647,0.288
0.13,0.3985118,0.4242535,0.336
0.133,0.4036002,0.4267359,0.336
0.14,0.3918991,0.3658337,0.321
0.15,0.3899326,0.2807293,0.38
0.16,0.391735,0.3233244,0.469
0.17,0.3328012,0.3580888,0.39
0.18,0.2788382,0.4073229,0.477
0.19,0.2642418,0.4628774,0.502
0.2,0.2998541,0.487696,0.465
0.22,0.3568774,0.295861,0.263
0.24,0.3397354,0.2470537,0.185
0.25,0.2765701,0.2664084,0.19
0.26,0.2260134,0.3445445,0.19
0.28,0.2179452,0.2998683,0.148
0.29,0.2102045,0.252339,0.124
0.3,0.1910907,0.2374909,0.12
0.32,0.1927713,0.2529743,0.124
0.34,0.222107,0.2716274,0.11
0.35,0.2382325,0.288574,0.104
0.36,0.2576889,0.2772425,0.104
0.38,0.2427136,0.2910369,0.117
0.4,0.1997033,0.3120723,0.13
0.42,0.2064311,0.3760705,0.134
0.44,0.204712,0.3620341,0.13
0.45,0.1894988,0.3304009,0.129
0.46,0.1936436,0.3085065,0.131
0.48,0.2186633,0.3199181,0.122
0.5,0.2612329,0.3381536,0.0984
0.55,0.2259163,0.2533987,0.0659
0.6,0.1809204,0.1440296,0.0789
0.65,0.1406764,0.1474891,0.0711
0.667,0.1341704,0.1328652,0.0646
0.7,0.128628,0.1390383,0.0541
0.75,0.1259776,0.1140319,0.0591
0.8,0.1297739,0.08774728,0.0545
0.85,0.1268322,0.08563236,0.0487
0.9,0.1126307,0.1016384,0.0434
0.95,0.1063152,0.1234375,0.0439
1.0,0.1100059,0.1369031,0.0517
1.1,0.1217147,0.1334489,0.0537
1.2,0.1132822,0.09896465,0.0479
1.3,0.1168942,0.09451108,0.0427
1.4,0.1125095,0.08529508,0.0476
1.5,0.1043234,0.07742488,0.0476
1.6,0.09870094,0.07117812,0.0503
1.7,0.09671184,0.06653494,0.0508
1.8,0.0951892,0.06557207,0.0527
1.9,0.09397449,0.07298241,0.0499
2.0,0.09199387,0.07636973,0.0427
2.2,0.08618286,0.0771163,0.024
2.4,0.09538733,0.07616069,0.0215
2.5,0.09254315,0.07406063,0.0225
2.6,0.08457767,0.07178798,0.0243
2.8,0.06945083,0.06497727,0.0265
3.0,0.06558878,0.05909564,0.0232
3.2,0.06191195,0.05659739,0.021
3.4,0.05772146,0.05549221,0.0268
3.5,0.05616332,0.05486436,0.0289
3.6,0.05435748,0.05370648,0.0316
3.8,0.06062422,0.05032501,0.0351
4.0,0.06412584,0.04715842,0.0374
4.2,0.06319946,0.04443596,0.0408
4.4,0.06036976,0.04125727,0.0443
4.6,0.05523641,0.03830855,0.0453
4.8,0.0494047,0.03555861,0.043
5.0,0.04356778,0.03252746,0.0389
5.5,0.03445518,0.03030547,0.0282
6.0,0.02595172,0.02641867,0.0233
6.5,0.0217646,0.02276512,0.0192
7.0,0.01885261,0.01954043,0.0152
7.5,0.01697629,0.01650182,0.0124
8.0,0.01848295,0.01348215,0.00999
8.5,0.01969979,0.01171488,0.00858
9.0,0.02037542,0.0111665,0.00693
9.5,0.01932988,0.01126734,0.00536
10.0,0.01627631,0.00982309,0.00411
11.0,0.01187618,0.00703757,0.00295
12.0,0.00942798,0.0060541,0.00247
13.0,0.00741155,0.00464413,0.00199
14.0,0.00552196,0.00380583,0.00153
15.0,0.00448321,0.00322261,0.00118
20.0,0.00180561,0.00155942,0.000581
