
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 2958
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 2958, -, 1.0, -, 12.3, 36.3, 0.1, "Chi-Chi_ Taiwan-05", 1999, "CHY054", 6.2, Reverse, 88.66, 92.28, 172.1, 0.07, 1.0, RSN2958_CHICHI.05_CHY054N.AT2, RSN2958_CHICHI.05_CHY054E.AT2 , RSN2958_CHICHI.05_CHY054V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-2958 SRSS pSa (g)
0.75,0.11879866,0.11879866,0.11879866,0.11879866
0.8,0.10721169,0.10721169,0.10721169,0.10721169
0.85,0.10416682,0.10416682,0.10416682,0.10416682
0.9,0.09909292,0.09909292,0.09909292,0.09909292
0.95,0.1021468,0.1021468,0.1021468,0.1021468
1.0,0.10265733,0.10265733,0.10265733,0.10265733
1.1,0.08794145,0.08794145,0.08794145,0.08794145
1.2,0.08679066,0.08679066,0.08679066,0.08679066
1.3,0.0871031,0.0871031,0.0871031,0.0871031
1.4,0.08812172,0.08812172,0.08812172,0.08812172
1.5,0.08968973,0.08968973,0.08968973,0.08968973
1.6,0.086926,0.086926,0.086926,0.086926
1.7,0.08502122,0.08502122,0.08502122,0.08502122
1.8,0.07176815,0.07176815,0.07176815,0.07176815
1.9,0.06625832,0.06625832,0.06625832,0.06625832
2.0,0.06100678,0.06100678,0.06100678,0.06100678
2.2,0.05142666,0.05142666,0.05142666,0.05142666
2.4,0.04971607,0.04971607,0.04971607,0.04971607
2.5,0.04762785,0.04762785,0.04762785,0.04762785
2.6,0.04241066,0.04241066,0.04241066,0.04241066
2.8,0.0321118,0.0321118,0.0321118,0.0321118
3.0,0.03388521,0.03388521,0.03388521,0.03388521
3.2,0.03608694,0.03608694,0.03608694,0.03608694
3.4,0.04302982,0.04302982,0.04302982,0.04302982
3.5,0.0429463,0.0429463,0.0429463,0.0429463
3.6,0.04052105,0.04052105,0.04052105,0.04052105
3.8,0.03353202,0.03353202,0.03353202,0.03353202
4.0,0.02864342,0.02864342,0.02864342,0.02864342
4.2,0.02569242,0.02569242,0.02569242,0.02569242
4.4,0.02414263,0.02414263,0.02414263,0.02414263
4.6,0.02149842,0.02149842,0.02149842,0.02149842
4.8,0.01910859,0.01910859,0.01910859,0.01910859
5.0,0.01770293,0.01770293,0.01770293,0.01770293
5.5,0.01436523,0.01436523,0.01436523,0.01436523
6.0,0.01117681,0.01117681,0.01117681,0.01117681
6.5,0.00869967,0.00869967,0.00869967,0.00869967
7.0,0.00637904,0.00637904,0.00637904,0.00637904
7.5,0.00545097,0.00545097,0.00545097,0.00545097
8.0,0.0044945,0.0044945,0.0044945,0.0044945
8.5,0.0036577,0.0036577,0.0036577,0.0036577
9.0,0.0030269,0.0030269,0.0030269,0.0030269
9.5,0.00251403,0.00251403,0.00251403,0.00251403
10.0,0.00215976,0.00215976,0.00215976,0.00215976
11.0,0.00164191,0.00164191,0.00164191,0.00164191
12.0,0.00134853,0.00134853,0.00134853,0.00134853
13.0,0.00121011,0.00121011,0.00121011,0.00121011
14.0,0.00108697,0.00108697,0.00108697,0.00108697
15.0,0.00094858,0.00094858,0.00094858,0.00094858
20.0,0.00042934,0.00042934,0.00042934,0.00042934

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-2958 Horizontal-1 pSa (g),RSN-2958 Horizontal-2 pSa (g),RSN-2958 Vertical pSa (g)
0.01,0.06662608,0.05560531,0.0298
0.02,0.06771135,0.05639228,0.0313
0.022,0.0683458,0.05697395,0.0319
0.025,0.06770867,0.0565439,0.0339
0.029,0.07023382,0.05545842,0.0331
0.03,0.07023275,0.05665924,0.0328
0.032,0.06958551,0.05868108,0.0351
0.035,0.07117092,0.05870371,0.0402
0.036,0.07127076,0.05888818,0.0409
0.04,0.07193051,0.05965152,0.0448
0.042,0.06884195,0.05979544,0.0536
0.044,0.07187931,0.05872191,0.0519
0.045,0.07213916,0.05815993,0.0513
0.046,0.07324775,0.05776101,0.0494
0.048,0.07739707,0.05814248,0.0482
0.05,0.07805125,0.05850767,0.0429
0.055,0.08750148,0.06554254,0.0489
0.06,0.09189564,0.07100131,0.0516
0.065,0.1020945,0.07735588,0.062
0.067,0.1009761,0.0812278,0.0602
0.07,0.09978463,0.08481439,0.0569
0.075,0.09297626,0.08077206,0.0623
0.08,0.09327573,0.07287069,0.0689
0.085,0.09616921,0.07894272,0.0885
0.09,0.1013253,0.08349145,0.0934
0.095,0.1025318,0.08271018,0.0777
0.1,0.1129695,0.09531069,0.0723
0.11,0.1312318,0.09419315,0.08
0.12,0.1342419,0.09442173,0.076
0.13,0.1372015,0.1111324,0.103
0.133,0.1295894,0.1141692,0.108
0.14,0.1433557,0.1070892,0.108
0.15,0.1519569,0.1006919,0.0993
0.16,0.1326458,0.1077888,0.097
0.17,0.1340198,0.1112341,0.105
0.18,0.1373303,0.1280306,0.124
0.19,0.1342605,0.1471329,0.108
0.2,0.1487011,0.1486283,0.116
0.22,0.1809442,0.1451584,0.107
0.24,0.1770456,0.1157494,0.0855
0.25,0.1587951,0.1233495,0.0649
0.26,0.1842249,0.1240419,0.0535
0.28,0.218091,0.1272528,0.0556
0.29,0.2131012,0.1239818,0.054
0.3,0.2090442,0.13517,0.0589
0.32,0.2309429,0.1371575,0.0613
0.34,0.2090275,0.1103114,0.0504
0.35,0.1831485,0.1065201,0.0482
0.36,0.1637514,0.09610051,0.0445
0.38,0.1322227,0.1005908,0.0327
0.4,0.1262127,0.09210722,0.03
0.42,0.1274467,0.09427413,0.0251
0.44,0.1137946,0.09642362,0.0203
0.45,0.1088194,0.09815931,0.0212
0.46,0.1050993,0.1002883,0.0226
0.48,0.1047624,0.09635283,0.0223
0.5,0.1084354,0.09872127,0.0219
0.55,0.103071,0.08507139,0.0232
0.6,0.1042763,0.1000284,0.0213
0.65,0.09847476,0.1073242,0.0266
0.667,0.09265331,0.1096375,0.0264
0.7,0.0783667,0.1102766,0.0241
0.75,0.06360241,0.1003387,0.0179
0.8,0.06100839,0.08816078,0.0163
0.85,0.06302424,0.08293776,0.0125
0.9,0.06217391,0.07716095,0.0136
0.95,0.07200254,0.07245415,0.0126
1.0,0.07382394,0.07133409,0.0126
1.1,0.04766455,0.07390392,0.0114
1.2,0.04625136,0.07343998,0.0112
1.3,0.05301879,0.0691083,0.0104
1.4,0.05879556,0.06563932,0.00859
1.5,0.06457888,0.06223999,0.0114
1.6,0.06424829,0.05855157,0.0111
1.7,0.06267297,0.05745178,0.0113
1.8,0.04529811,0.05566641,0.0113
1.9,0.04118546,0.05190301,0.012
2.0,0.03812885,0.04762371,0.0131
2.2,0.03172388,0.04047588,0.0141
2.4,0.0294311,0.04006866,0.0146
2.5,0.02942958,0.03744745,0.0139
2.6,0.02641737,0.03317811,0.0123
2.8,0.02171511,0.02365633,0.0137
3.0,0.02348872,0.02442309,0.0144
3.2,0.01880509,0.03079993,0.0173
3.4,0.01827652,0.03895554,0.0194
3.5,0.01723018,0.03933835,0.02
3.6,0.0153518,0.03750037,0.0207
3.8,0.01146432,0.03151136,0.0215
4.0,0.01085886,0.0265053,0.021
4.2,0.01094595,0.02324407,0.0195
4.4,0.01288049,0.02041959,0.0181
4.6,0.01224826,0.01766811,0.0162
4.8,0.00914399,0.01677873,0.0139
5.0,0.00873444,0.01539816,0.012
5.5,0.0065149,0.01280296,0.00963
6.0,0.00470643,0.01013759,0.00735
6.5,0.00391563,0.00776866,0.00601
7.0,0.00306021,0.00559707,0.00473
7.5,0.00271023,0.00472945,0.00378
8.0,0.00219962,0.00391946,0.00327
8.5,0.00177556,0.00319783,0.00272
9.0,0.00154381,0.00260361,0.00221
9.5,0.00138025,0.00210125,0.00177
10.0,0.00136458,0.00167406,0.00142
11.0,0.00119922,0.00112149,0.000989
12.0,0.00095251,0.00095459,0.000772
13.0,0.00093133,0.00077266,0.000637
14.0,0.00088468,0.00063154,0.000532
15.0,0.00078817,0.00052782,0.000449
20.0,0.00032593,0.00027946,0.000232
