
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-26


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 949
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 949, -, 1.0, -, 6.4, 13.5, 1.5, "Northridge-01", 1994, "Arleta - Nordhoff Fire Sta", 6.69, Reverse, 3.3, 8.66, 297.71, 0.12, 1.0, RSN949_NORTHR_ARL090.AT2, RSN949_NORTHR_ARL360.AT2 , RSN949_NORTHR_ARL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-949 SRSS pSa (g)
1.5,0.33594704,0.33594704,0.33594704,0.33594704
1.6,0.2597056,0.2597056,0.2597056,0.2597056
1.7,0.25688361,0.25688361,0.25688361,0.25688361
1.8,0.24322456,0.24322456,0.24322456,0.24322456
1.9,0.2242721,0.2242721,0.2242721,0.2242721
2.0,0.20896108,0.20896108,0.20896108,0.20896108
2.2,0.18253655,0.18253655,0.18253655,0.18253655
2.4,0.16627339,0.16627339,0.16627339,0.16627339
2.5,0.15572047,0.15572047,0.15572047,0.15572047
2.6,0.15307841,0.15307841,0.15307841,0.15307841
2.8,0.15343805,0.15343805,0.15343805,0.15343805
3.0,0.14517082,0.14517082,0.14517082,0.14517082
3.2,0.12834044,0.12834044,0.12834044,0.12834044
3.4,0.09811923,0.09811923,0.09811923,0.09811923
3.5,0.08926918,0.08926918,0.08926918,0.08926918
3.6,0.08516014,0.08516014,0.08516014,0.08516014
3.8,0.08196019,0.08196019,0.08196019,0.08196019
4.0,0.07268907,0.07268907,0.07268907,0.07268907
4.2,0.0690359,0.0690359,0.0690359,0.0690359
4.4,0.0618812,0.0618812,0.0618812,0.0618812
4.6,0.052524,0.052524,0.052524,0.052524
4.8,0.046482,0.046482,0.046482,0.046482
5.0,0.04233597,0.04233597,0.04233597,0.04233597
5.5,0.03328545,0.03328545,0.03328545,0.03328545
6.0,0.02674845,0.02674845,0.02674845,0.02674845
6.5,0.02445852,0.02445852,0.02445852,0.02445852
7.0,0.0190877,0.0190877,0.0190877,0.0190877
7.5,0.01636518,0.01636518,0.01636518,0.01636518
8.0,0.01473465,0.01473465,0.01473465,0.01473465
8.5,0.01349389,0.01349389,0.01349389,0.01349389
9.0,0.0118919,0.0118919,0.0118919,0.0118919
9.5,0.01021151,0.01021151,0.01021151,0.01021151
10.0,0.00862422,0.00862422,0.00862422,0.00862422
11.0,0.00653073,0.00653073,0.00653073,0.00653073
12.0,0.00537287,0.00537287,0.00537287,0.00537287
13.0,0.00438452,0.00438452,0.00438452,0.00438452
14.0,0.00358732,0.00358732,0.00358732,0.00358732
15.0,0.00295862,0.00295862,0.00295862,0.00295862
20.0,0.00146384,0.00146384,0.00146384,0.00146384

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-949 Horizontal-1 pSa (g),RSN-949 Horizontal-2 pSa (g),RSN-949 Vertical pSa (g)
0.01,0.3457119,0.3094538,0.568
0.02,0.3466524,0.3111161,0.571
0.022,0.3453339,0.3105056,0.616
0.025,0.348717,0.3068622,0.686
0.029,0.3632924,0.3092214,0.682
0.03,0.3621734,0.3093391,0.659
0.032,0.3544225,0.3172523,0.614
0.035,0.3577885,0.3205933,0.657
0.036,0.3593719,0.319953,0.664
0.04,0.3480172,0.3121803,0.692
0.042,0.3405873,0.3180369,0.731
0.044,0.3555141,0.3253869,0.715
0.045,0.361664,0.3248795,0.686
0.046,0.3654251,0.3205052,0.719
0.048,0.3640387,0.3134294,0.769
0.05,0.3597046,0.3116798,0.776
0.055,0.3813375,0.2991595,0.963
0.06,0.4075766,0.3166346,0.905
0.065,0.4263421,0.3018797,1.16
0.067,0.4438236,0.3079316,1.25
0.07,0.4563651,0.3253144,1.36
0.075,0.4188122,0.3727903,1.35
0.08,0.4486485,0.482253,1.2
0.085,0.4553301,0.4476855,1.26
0.09,0.5332309,0.4013025,1.19
0.095,0.6635272,0.4640943,1.16
0.1,0.6565933,0.4254701,1.32
0.11,0.6125628,0.4039211,1.7
0.12,0.666968,0.4845378,1.77
0.13,0.6560524,0.4890786,1.52
0.133,0.6557527,0.4759847,1.42
0.14,0.6257534,0.5697708,1.38
0.15,0.6055728,0.4659847,1.64
0.16,0.7286559,0.4656199,1.56
0.17,0.6617615,0.5202004,1.32
0.18,0.6161434,0.5800341,1.15
0.19,0.6106318,0.6231199,1.04
0.2,0.6586398,0.8112714,0.832
0.22,0.6629522,0.8238503,0.545
0.24,0.9501373,0.9068339,0.519
0.25,0.9060124,0.8396411,0.518
0.26,0.8431118,0.7245154,0.442
0.28,0.8597231,0.6787175,0.56
0.29,0.8227584,0.6124257,0.555
0.3,0.803867,0.6433745,0.546
0.32,0.8110323,0.8676608,0.52
0.34,0.8580246,0.8505693,0.412
0.35,0.8376779,0.7783447,0.407
0.36,0.7535062,0.6857057,0.411
0.38,0.5895371,0.524655,0.342
0.4,0.5976456,0.4733732,0.336
0.42,0.5730515,0.4855637,0.325
0.44,0.5355722,0.5404798,0.302
0.45,0.5134001,0.5539934,0.328
0.46,0.5338108,0.5848451,0.359
0.48,0.5624451,0.5481359,0.351
0.5,0.606275,0.5120349,0.314
0.55,0.5906959,0.5691671,0.323
0.6,0.6060341,0.6682177,0.387
0.65,0.6721066,0.6477159,0.296
0.667,0.683997,0.6276228,0.269
0.7,0.7012177,0.5832232,0.234
0.75,0.7132664,0.5082686,0.182
0.8,0.7044898,0.4400484,0.138
0.85,0.6701571,0.4089913,0.153
0.9,0.6192209,0.3773051,0.174
0.95,0.5684836,0.3413517,0.189
1.0,0.5243129,0.293356,0.157
1.1,0.4494274,0.2289835,0.12
1.2,0.3860405,0.2009681,0.129
1.3,0.3220527,0.1828183,0.138
1.4,0.2639045,0.1817399,0.113
1.5,0.2697815,0.2001958,0.1
1.6,0.1902364,0.1767968,0.109
1.7,0.1585281,0.2021337,0.107
1.8,0.1385419,0.1999108,0.1
1.9,0.1466933,0.1696439,0.117
2.0,0.1643932,0.1289946,0.142
2.2,0.132164,0.1259058,0.167
2.4,0.1152851,0.1198173,0.194
2.5,0.1052901,0.1147295,0.197
2.6,0.08411438,0.1278975,0.187
2.8,0.07240345,0.1352811,0.16
3.0,0.06311271,0.1307339,0.128
3.2,0.05467529,0.1161115,0.108
3.4,0.04707837,0.08608723,0.116
3.5,0.04368304,0.077851,0.116
3.6,0.04560215,0.07192144,0.117
3.8,0.0537345,0.06188761,0.108
4.0,0.0504296,0.05235033,0.0904
4.2,0.04832452,0.04930209,0.0721
4.4,0.04121293,0.04616034,0.0534
4.6,0.03111704,0.04231431,0.0421
4.8,0.02648114,0.03820112,0.0334
5.0,0.02504446,0.0341337,0.0279
5.5,0.02016538,0.02648166,0.022
6.0,0.01640427,0.02112769,0.0169
6.5,0.01690285,0.01767804,0.0155
7.0,0.01339129,0.01360197,0.0122
7.5,0.01140279,0.01173863,0.0105
8.0,0.01063409,0.01019931,0.00918
8.5,0.01016179,0.00887823,0.00755
9.0,0.00902155,0.00774784,0.00665
9.5,0.00762693,0.00679006,0.00615
10.0,0.00621485,0.00597936,0.00559
11.0,0.00453042,0.00470381,0.00445
12.0,0.00382581,0.00377239,0.00352
13.0,0.00311944,0.00308108,0.00274
14.0,0.00251573,0.00255734,0.00238
15.0,0.00202892,0.00215335,0.00195
20.0,0.00099484,0.00107384,0.00097
